Line 14 x;Line 14 y
4,630532271670E0;7,152083907596E-1
4,677577580458E0;7,136736729401E-1
4,714679876849E0;7,124162485036E-1
4,734653596548E0;7,116721538158E-1
4,755936794260E0;7,107468169037E-1
4,783362924648E0;7,093004406844E-1
4,799416076581E0;7,082766246875E-1
4,818984518657E0;7,064722420038E-1
4,827523016321E0;7,051276187411E-1
4,842277006346E0;7,024394992973E-1
4,863864213643E0;6,993056763400E-1
4,882062156235E0;6,978416070326E-1
4,900012970964E0;6,967976577211E-1
4,930489379630E0;6,955205472511E-1
4,956960434955E0;6,946589780230E-1
4,985943762901E0;6,937384357464E-1
5,010348586141E0;6,928769280494E-1
5,033239458889E0;6,915807540713E-1
5,050468598309E0;6,899845689599E-1
5,082828002520E0;6,848719694024E-1
5,094124012337E0;6,828425228696E-1
5,103554073757E0;6,806821839430E-1
5,109108405276E0;6,788957038052E-1
5,113445902248E0;6,742001196811E-1
5,113455485935E0;6,724978172385E-1
5,113465069622E0;6,707955147960E-1
5,113474653309E0;6,690932123534E-1
5,113484236996E0;6,673909099109E-1
5,113493820684E0;6,656886074683E-1
5,113503404371E0;6,639863050258E-1
5,113512988058E0;6,622840025832E-1
5,113522571745E0;6,605817001406E-1
5,113532155433E0;6,588793976981E-1
5,113548128245E0;6,560422269605E-1
5,124494859183E0;6,515350099869E-1
5,132925602970E0;6,490643798537E-1
5,139321405180E0;6,470527272384E-1
5,146012802151E0;6,454094293618E-1
5,156053492579E0;6,433501333905E-1
5,163259533934E0;6,418187606999E-1
5,173276192635E0;6,401418144626E-1
5,207935847280E0;6,353166649226E-1
5,217469577803E0;6,339135091194E-1
5,227360713518E0;6,323482883420E-1
5,242452121575E0;6,295621747140E-1
5,249487176255E0;6,272673259104E-1
5,253364789044E0;6,249950541668E-1
5,257647042164E0;6,220142219994E-1
5,260655010276E0;6,198761649429E-1
5,263571567316E0;6,180218263468E-1
5,265736681987E0;6,163194906275E-1
5,268010890964E0;6,143830866586E-1
5,271824320699E0;6,115808060785E-1
5,275190139967E0;6,093730670119E-1
5,278083997246E0;6,078421784843E-1
5,281358544028E0;6,063161969290E-1
5,287346465771E0;6,034525888430E-1
5,290960497516E0;6,012324471410E-1
5,293963515958E0;5,990619653553E-1
5,297776945693E0;5,962596847753E-1
5,300806838053E0;5,940519508946E-1
5,304174995799E0;5,920172423455E-1
5,309217684557E0;5,900934339422E-1
5,322370640624E0;5,861825460138E-1
5,342107683263E0;5,809433553415E-1
5,351618061376E0;5,790208111677E-1
5,359910199723E0;5,774740210321E-1
5,376135257812E0;5,745754743930E-1
5,401056845461E0;5,695380746695E-1
5,406316095235E0;5,676153597903E-1
5,414750238591E0;5,641902620625E-1
5,418931237658E0;5,619954434872E-1
5,422015390379E0;5,599992437791E-1
5,426294024211E0;5,577826382803E-1
5,433736326454E0;5,546393567841E-1
5,438133342505E0;5,529077220884E-1
5,442420438466E0;5,514675868638E-1
5,448451181743E0;5,494987256056E-1
5,462698986432E0;5,455493117126E-1
5,468973094898E0;5,434406199195E-1
5,475556575472E0;5,411591752856E-1
5,484587718352E0;5,387010145209E-1
5,497249755145E0;5,357574596654E-1
5,522486141959E0;5,311155398069E-1
5,536898087149E0;5,287601331555E-1
5,549241391359E0;5,268820612813E-1
5,560553694913E0;5,254303821588E-1
5,573329405273E0;5,238426656911E-1
5,595791608827E0;5,206692949079E-1
5,614871131465E0;5,181388763632E-1
5,636765964815E0;5,153652752633E-1
5,648524688114E0;5,140894332187E-1
5,676032277981E0;5,120218092961E-1
5,692407839408E0;5,109125563949E-1
5,711787657863E0;5,096589026323E-1
5,726986614008E0;5,085282882693E-1
5,742710297263E0;5,072943030799E-1
5,772062340043E0;5,049862266670E-1
5,820303571969E0;5,019772815146E-1
5,839731390390E0;5,011553020714E-1
5,876226965658E0;5,001095894675E-1
5,905014801625E0;4,990500406929E-1
5,925487326739E0;4,977382088066E-1
5,942232580825E0;4,963502361679E-1
5,985951533609E0;4,931751221096E-1
6,009600790686E0;4,924905429546E-1
6,041187035540E0;4,915610170995E-1
6,064204438548E0;4,906182822696E-1
6,093947239528E0;4,891449178915E-1
6,111459935422E0;4,882060980694E-1
6,146333664317E0;4,862214287218E-1
6,171666389739E0;4,851901724437E-1
6,200900088199E0;4,847338514722E-1
6,253006584726E0;4,844783465290E-1
6,277533107156E0;4,839265194507E-1
6,301186459642E0;4,829623296247E-1
6,319386936804E0;4,820301447903E-1
6,344591970777E0;4,797837545100E-1
6,355305852343E0;4,781342950158E-1
6,367975038480E0;4,761218640759E-1
6,383920215201E0;4,733370420765E-1
6,392660568426E0;4,715013014819E-1
6,404091610350E0;4,689113390574E-1
6,425054132602E0;4,648975122504E-1
6,438246084052E0;4,625139856603E-1
6,461352134418E0;4,571357683904E-1
6,467791683878E0;4,548121368848E-1
6,474496131817E0;4,523328236050E-1
6,483620654982E0;4,495981571446E-1
6,493756780318E0;4,467233682807E-1
6,499709821226E0;4,450352392980E-1
6,509357519977E0;4,429071473006E-1
6,528091602843E0;4,399771054229E-1
6,542213371415E0;4,376276011252E-1
6,554809943821E0;4,350642569557E-1
6,566139960952E0;4,318550806625E-1
6,572547248379E0;4,285766411658E-1
6,577589937136E0;4,266528327625E-1
6,586457040447E0;4,238623386959E-1
6,593033722376E0;4,220592153192E-1
6,601895278879E0;4,195025852487E-1
6,616415731521E0;4,160705023734E-1
6,623883099224E0;4,148128917394E-1
6,634907769316E0;4,134074394622E-1
6,635054710111E0;4,134122732799E-1
6,648908447620E0;4,122339058485E-1
6,669398186813E0;4,108664796585E-1
6,693676352851E0;4,093920807931E-1
6,711042743140E0;4,083810469985E-1
6,737095207945E0;4,067343464245E-1
6,756392527654E0;4,052923032273E-1
6,780179569429E0;4,029064336899E-1
6,795153861379E0;4,012014750700E-1
6,803309249159E0;4,002786776818E-1
6,823161558711E0;3,974967074610E-1
6,825405093321E0;3,971252770637E-1
6,831114530328E0;3,960620316594E-1
6,855259285103E0;3,920314594340E-1
6,872974366278E0;3,904496107149E-1
6,890415978943E0;3,889130199165E-1
6,908866041546E0;3,874871518342E-1
6,932634878539E0;3,855940744633E-1
6,942140460843E0;3,842739908673E-1
6,952193260058E0;3,816078708966E-1
6,956316496278E0;3,801634295383E-1
6,990741237925E0;3,754720009323E-1
7,007093129399E0;3,743898539749E-1
7,026090972490E0;3,735463538184E-1
7,047402337702E0;3,730175246116E-1
7,071184831833E0;3,725160375406E-1
7,091618746310E0;3,719507607825E-1
7,113585849008E0;3,710931439704E-1
